,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
9876,1.0,B,39.262861,-121.085089,6,19991103,19991103,6057.0,19991103,152,62,88,0,0,72.0
9877,1.0,B,39.262036,-121.122272,6,20060914,20060914,6057.0,20060914,127,28,84,51,0,62.75
9878,0.1,A,39.155364,-121.063997,6,20050729,20050729,6057.0,20050729,244,113,174,0,0,85.5
9879,0.1,A,39.205219,-121.064569,6,19990525,19990525,6057.0,19990525,197,16,95,25,0,167.25
9880,0.1,A,39.233939,-121.08415,6,20050627,20050627,6057.0,20050627,157,60,97,0,0,111.25
9881,0.5,B,39.306989,-121.110417,6,20050418,20050418,6057.0,20050418,49,-36,-3,25,0,138.5
9882,0.3,B,39.381931,-121.0308,6,19980819,19980820,6057.0,19980819,189,67,109,0,0,84.5
9883,0.2,A,39.278089,-121.029411,6,20040313,20040313,6057.0,20040313,144,13,63,0,0,67.25
9884,0.1,A,39.155364,-121.063997,6,20050729,20050729,6057.0,20050729,244,113,174,0,0,85.5
9885,1.0,B,39.256058,-121.138458,6,20060914,20060914,6057.0,20060914,127,28,84,51,0,62.75
9886,0.1,A,39.278089,-121.029411,6,20040315,20040315,6057.0,20040315,99,4,45,0,0,67.25
9887,0.1,A,39.134222,-120.973578,6,20050422,20050422,6057.0,20050422,157,-4,44,25,0,138.5
9888,0.1,A,39.186114,-121.047689,6,20050701,20050701,6057.0,20050701,250,73,165,0,0,111.25
9889,0.1,A,39.152431,-120.957369,6,20031105,20031105,6057.0,20031105,30,-58,-19,0,0,50.75
9890,0.1,A,39.367269,-121.08775,6,20040831,20040831,6057.0,20040831,253,116,199,0,0,61.0
9891,0.2,A,39.370406,-121.043736,6,20060731,20060731,6057.0,20060731,159,59,107,0,0,95.5
9892,0.1,A,39.262489,-121.103581,6,19990717,19990717,6057.0,19990717,180,48,116,0,0,92.5
9893,0.1,A,39.43527778,-120.11916667,6,20060917,20060917,6057.0,20060917,203,28,108,0,0,62.75
9894,0.1,A,39.349431,-121.124311,6,20030706,20030706,6057.0,20030706,227,48,141,0,0,120.0
9895,0.1,A,39.135486,-121.093764,6,20060814,20060814,6057.0,20060814,210,91,144,0,0,68.5
9896,0.3,B,39.205219,-121.064569,6,20050206,20050206,6057.0,20050206,38,-38,-12,0,0,73.25
9897,1.0,B,39.291819,-121.122881,6,20030903,20030904,6057.0,20030903,233,118,155,0,0,76.5
9898,1.0,B,39.136944,-121.100386,6,20070626,20070626,6057.0,20070626,213,98,145,0,0,97.5
9899,0.1,A,39.42361111,-120.11472222,6,20090708,20090708,6057.0,20090708,178,46,112,0,0,123.25
9900,4.0,B,39.365489,-120.9921,6,19990516,19990516,6057.0,19990516,107,-33,36,0,0,121.75
9901,1.0,B,39.166489,-121.093781,6,19990607,19990607,6057.0,19990607,77,-25,18,0,0,167.25
9902,1.0,B,39.180283,-121.047144,6,20070603,20070603,6057.0,20070603,202,40,124,0,0,114.0
9903,0.1,A,39.36833333,-120.15111111,6,20061024,20061024,6057.0,20061024,148,4,63,0,0,59.0
9904,0.04,A,39.29444444,-120.86166667,6,20090607,20090607,6057.0,20090607,134,36,82,0,0,141.25
9905,0.4,B,39.193133,-121.053194,6,20050802,20050802,6057.0,20050802,217,57,139,25,0,85.5
9906,0.1,A,39.235439,-121.009319,6,20030720,20030720,6057.0,20030720,280,140,205,0,0,103.0
9907,0.5,B,39.30505,-121.161589,6,19990714,19990714,6057.0,19990714,220,105,162,0,0,92.5
9908,0.1,A,39.2791,-120.973131,6,20041015,20041015,6057.0,20041015,228,100,146,0,0,53.75
9909,0.5,B,39.32916667,-120.90027778,6,20090608,20090608,6057.0,20090608,138,39,82,0,0,141.25
9910,2.0,B,39.30855,-120.954789,6,20030106,20030106,6057.0,20030106,53,-56,1,0,0,90.25
9911,0.5,B,39.289539,-121.197489,6,20041022,20041022,6057.0,20041022,111,-38,16,25,0,53.75
9912,0.1,A,39.187211,-120.956119,6,20030516,20030516,6057.0,20030516,135,-25,60,0,0,193.667
9913,0.1,A,39.208531,-120.897761,6,20050313,20050313,6057.0,20050313,109,-24,31,0,0,73.75
9914,0.4,B,39.187319,-120.937369,6,19981005,19981005,6057.0,19981005,160,12,66,0,0,81.0
