FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE
4.0,B,38.403581,-120.899431,6,20040427,20040427,6005.0,20040427
1.0,B,38.417581,-120.641989,6,19990804,19990804,6005.0,19990804
0.4,B,38.431889,-120.549269,6,20030210,20030210,6005.0,20030210
0.5,B,38.258889,-120.881661,6,19981109,19981109,6005.0,19981109
0.5,B,38.504011,-120.825019,6,19990730,19990730,6005.0,19990730
0.1,A,38.344389,-120.67945,6,19980726,19980726,6005.0,19980726
0.1,A,38.460261,-120.4934,6,20001106,20001106,6005.0,20001106
0.5,B,38.432019,-120.641789,6,19980825,19980825,6005.0,19980825
1.0,B,38.460839,-120.64185,6,19990719,19990719,6005.0,19990719
1.0,B,38.449911,-120.508517,6,20070804,20070804,6005.0,20070804
1.0,B,38.44615,-120.5122,6,20021101,20021101,6005.0,20021101
0.2,A,38.446389,-120.548861,6,19990721,19990721,6005.0,19990721
0.1,A,38.533419,-120.861789,6,20010727,20010727,6005.0,20010727
0.3,B,38.417811,-120.567781,6,20030903,20030903,6005.0,20030903
0.1,A,38.446389,-120.548861,6,20040520,20040520,6005.0,20040520
0.1,A,38.313503,-120.720517,6,20070629,20070629,6005.0,20070629
0.1,A,38.447814,-120.516503,6,20071028,20071028,6005.0,20071028
0.5,B,38.7972,-119.7525,6,20050904,20050904,6005.0,20050904
0.2,A,38.3304,-120.75265,6,20020620,20020620,6005.0,20020620
0.1,A,38.64166667,-120.20833333,6,20060531,20060601,6005.0,20060531
1.0,B,38.417869,-120.604689,6,20010718,20010718,6005.0,20010718
0.3,B,38.302231,-120.881481,6,20010520,20010520,6005.0,20010520
0.3,B,38.445489,-120.73385,6,20001013,20001013,6005.0,20001013
1.0,B,38.4598,-120.696881,6,19990807,19990807,6005.0,19990807
1.0,B,38.452608,-120.637972,6,20070611,20070611,6005.0,20070611
0.1,A,38.3304,-120.75265,6,20000623,20000623,6005.0,20000623
0.1,A,38.417811,-120.567781,6,20040424,20040424,6005.0,20040424
100.0,D,38.437889,-120.576547,6,20070315,20070315,6005.0,20070315
3.0,B,38.488981,-120.770739,6,20040724,20040724,6005.0,20040724
0.1,A,38.452761,-120.520458,6,20070704,20070704,6005.0,20070704
1.0,B,38.489311,-120.566861,6,19980713,19980713,6005.0,19980713
0.1,A,38.331581,-120.881919,6,19990821,19990821,6005.0,19990821
0.1,A,38.446161,-120.660281,6,20020911,20020911,6005.0,20020911
0.2,A,38.273319,-120.900131,6,20040807,20040807,6005.0,20040807
