,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1871,0.1,A,38.591939,-120.919139,6,20030619,20030619,6017.0,20030619,195,-4,91,0,5.353026,148.0
1872,4.0,B,38.77,-120.8372,6,20070718,20070718,6017.0,20070718,141,92,116,0,2.5877419,67.0
1873,0.5,B,38.711258,-120.679811,6,20051117,20051117,6017.0,20051117,99,-20,40,0,3.307328500000001,69.0
1874,0.1,A,38.7675,-120.28472222,6,20091012,20091012,6017.0,20091012,110,-19,36,0,3.07002,63.0
1875,0.1,A,38.819781,-120.978811,6,19990827,19990827,6017.0,19990827,220,27,112,0,2.5697749,80.0
1876,15.0,C,38.5928,-120.8461,6,20090701,20090701,6017.0,20090701,225,113,163,0,2.1185904,74.143
1877,0.5,B,38.720658,-120.953403,6,20051114,20051114,6017.0,20051114,117,-14,46,0,2.9409,69.0
1878,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1879,80.0,C,38.606411,-120.919281,6,20010619,20010619,6017.0,20010619,247,15,136,0,2.4488378,144.0
1880,0.1,A,38.83361111,-120.0225,6,20080731,20080731,6017.0,20080731,202,71,129,0,3.5095518,50.0
1881,1.0,B,38.6476,-120.676489,6,20000807,20000807,6017.0,20000807,200,68,125,0,3.7928903,90.0
1882,0.1,A,38.56025,-120.678669,6,20020519,20020519,6017.0,20020519,144,22,83,8,3.5484414,175.0
1883,0.1,A,38.769739,-121.048228,6,20070403,20070403,6017.0,20070403,171,-19,66,0,0.5420364000000001,150.0
1884,0.1,A,38.9725,-119.95472222,6,20090703,20090703,6017.0,20090703,242,53,141,0,2.9545474,125.0
1885,0.1,A,38.790361,-120.937908,6,20051111,20051111,6017.0,20051111,76,8,35,0,2.0335422,67.0
1886,0.1,A,38.9,-120.1525,6,20030331,20030331,6017.0,20030331,130,49,80,0,0.76276666,200.0
1887,0.1,A,38.95,-119.925,6,20090704,20090704,6017.0,20090704,201,105,150,0,2.8071368,125.0
1888,0.1,A,38.661392,-120.988897,6,20071006,20071006,6017.0,20071006,73,-97,-3,0,2.4329777000000004,86.25
1889,0.1,A,38.919269,-120.924069,6,20000812,20000812,6017.0,20000812,242,99,167,0,3.3984106,81.0
1890,0.1,A,38.83805556,-120.32833333,6,20040704,20040704,6017.0,20040704,194,40,115,0,3.0359178,113.5
1891,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1892,0.3,B,38.596167,-120.614414,6,20051121,20051121,6017.0,20051121,125,-32,19,0,2.6542354,69.0
1893,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1894,1.5,B,35.95083333,-120.41833333,6,20090705,20090706,6017.0,20090705,197,93,143,0,3.1036327,125.0
1895,1.1,B,38.779225,-120.932447,6,20051106,20051106,6017.0,20051106,61,33,41,25,3.9504972,67.0
