,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
239,239,239,239,239,239,239,239,239,8432,0.2,A,41.76861111,-120.88694444,6,20090531,20090609,6049.0,20090531,231,79,141,51,0.92347,150.0
240,240,240,240,240,240,240,240,240,8433,1.0,B,41.8699,-120.1627,6,20000404,20000404,6049.0,20000404,133,-5,65,0,2.895608,128.0
241,241,241,241,241,241,241,241,241,8434,0.3,A,41.35694444,-121.06944444,6,20090530,20090530,6049.0,20090530,258,80,142,25,2.7256787,150.0
242,242,242,242,242,242,242,242,242,8435,0.1,A,41.77055556,-120.89833333,6,20090531,20090609,6049.0,20090531,231,79,141,51,0.92347,150.0
243,243,243,243,243,243,243,243,243,8436,0.1,A,41.84416667,-120.86638889,6,20090530,20090530,6049.0,20090530,258,80,142,25,2.7256787,150.0
244,244,244,244,244,244,244,244,244,8437,0.5,B,41.6503,-120.2186,6,20080619,20080619,6049.0,20080619,216,16,127,0,0.6203246,167.0
245,245,245,245,245,245,245,245,245,8438,0.1,A,41.48666667,-121.07333333,6,20090530,20090531,6049.0,20090530,258,80,142,25,2.7256787,150.0
246,246,246,246,246,246,246,246,246,8439,0.35,A,41.40777778,-120.93527778,6,20080621,20080621,6049.0,20080621,190,63,125,0,2.6596687,167.0
247,247,247,247,247,247,247,247,247,8440,0.1,A,41.71166667,-120.68722222,6,20090528,20090607,6049.0,20090528,257,34,135,0,0.7891748000000001,150.0
248,248,248,248,248,248,248,248,248,8441,5.0,B,41.478831,-120.35945,6,20020915,20020916,6049.0,20020915,240,67,158,0,2.3430772,77.667
249,249,249,249,249,249,249,249,249,8442,0.2,A,41.36861111,-121.09,6,20080621,20080622,6049.0,20080621,190,63,125,0,2.6596687,167.0
250,250,250,250,250,250,250,250,250,8443,0.1,A,41.55388889,-120.76305556,6,20090530,20090607,6049.0,20090530,258,80,142,25,2.7256787,150.0
251,251,251,251,251,251,251,251,251,8444,0.25,A,41.42944444,-121.46222222,6,20090601,20090602,6049.0,20090601,223,60,148,0,0.6628723000000001,145.0
252,252,252,252,252,252,252,252,252,8445,0.1,A,41.42833333,-121.07638889,6,20090602,20090602,6049.0,20090602,144,34,71,25,0.79176515,145.0
253,253,253,253,253,253,253,253,253,8446,0.1,A,41.3844,-120.5428,6,20090603,20090603,6049.0,20090603,162,77,101,0,1.4956188,145.0
254,254,254,254,254,254,254,254,254,8447,0.1,A,41.406819,-120.669031,6,19990913,19990913,6049.0,19990913,306,28,167,0,1.119465,128.0
255,255,255,255,255,255,255,255,255,8448,0.25,A,41.24916667,-120.33833333,6,20090622,20090623,6049.0,20090622,125,-13,53,0,2.8571646,108.0
256,256,256,256,256,256,256,256,256,8449,0.1,A,41.406819,-120.669031,6,19990915,19990916,6049.0,19990915,306,6,156,0,1.1681141000000002,128.0
257,257,257,257,257,257,257,257,257,8450,0.1,A,41.435869,-120.437611,6,19990921,19990921,6049.0,19990921,257,107,160,0,0.7496757,128.0
258,258,258,258,258,258,258,258,258,8451,0.1,A,41.1882,-120.4077,6,20030606,20030606,6049.0,20030606,301,80,195,0,1.9549354,181.0
259,259,259,259,259,259,259,259,259,8452,0.2,A,41.233461,-120.923,6,19990921,19990921,6049.0,19990921,257,107,160,0,0.7496757,128.0
260,260,260,260,260,260,260,260,260,8453,0.1,A,41.68916667,-121.52555556,6,20080525,20080525,6049.0,20080525,140,34,69,152,3.122467,166.667
261,261,261,261,261,261,261,261,261,8454,3.0,B,41.41989,-120.45773,6,19990921,19990922,6049.0,19990921,257,107,160,0,0.7496757,128.0
