,fips,county_name,state,to_generate,status,generated_row_count,file_name
383,45053,Jasper County,SC,0,1.0,0.0,
384,45055,Kershaw County,SC,0,1.0,0.0,
385,45057,Lancaster County,SC,0,1.0,0.0,
386,45059,Laurens County,SC,0,1.0,0.0,
387,45061,Lee County,SC,0,1.0,0.0,
388,45063,Lexington County,SC,0,1.0,0.0,
389,45065,McCormick County,SC,0,1.0,0.0,
390,45067,Marion County,SC,0,1.0,0.0,
391,45069,Marlboro County,SC,0,1.0,0.0,
392,45071,Newberry County,SC,0,1.0,0.0,
393,45073,Oconee County,SC,0,1.0,0.0,
394,45075,Orangeburg County,SC,0,1.0,0.0,
395,45077,Pickens County,SC,0,1.0,0.0,
396,45079,Richland County,SC,0,1.0,0.0,
397,45081,Saluda County,SC,0,1.0,0.0,
398,45083,Spartanburg County,SC,0,1.0,0.0,
399,45085,Sumter County,SC,0,1.0,0.0,
400,45087,Union County,SC,0,1.0,0.0,
401,45089,Williamsburg County,SC,0,1.0,0.0,
402,45091,York County,SC,0,1.0,0.0,
403,46000,SOUTH DAKOTA,,0,1.0,0.0,
404,46003,Aurora County,SD,0,1.0,0.0,
405,46005,Beadle County,SD,0,1.0,0.0,
406,46007,Bennett County,SD,0,1.0,0.0,
407,46009,Bon Homme County,SD,0,1.0,0.0,
408,46011,Brookings County,SD,0,1.0,0.0,
409,46013,Brown County,SD,0,1.0,0.0,
410,46015,Brule County,SD,0,1.0,0.0,
411,46017,Buffalo County,SD,0,1.0,0.0,
412,46019,Butte County,SD,0,1.0,0.0,
413,46021,Campbell County,SD,0,1.0,0.0,
414,46023,Charles Mix County,SD,0,1.0,0.0,
415,46025,Clark County,SD,0,1.0,0.0,
416,46027,Clay County,SD,0,1.0,0.0,
417,46029,Codington County,SD,0,1.0,0.0,
418,46031,Corson County,SD,0,1.0,0.0,
419,46033,Custer County,SD,0,1.0,100.0,Datasets/merged_tp_precip_wind_fmc_46033_Custer County.csv
420,46035,Davison County,SD,0,1.0,0.0,
421,46037,Day County,SD,0,1.0,0.0,
422,46039,Deuel County,SD,0,1.0,0.0,
423,46041,Dewey County,SD,0,1.0,0.0,
424,46043,Douglas County,SD,0,1.0,0.0,
425,46045,Edmunds County,SD,0,1.0,0.0,
426,46047,Fall River County,SD,0,1.0,0.0,
427,46049,Faulk County,SD,0,1.0,0.0,
428,46051,Grant County,SD,0,1.0,0.0,
429,46053,Gregory County,SD,0,1.0,0.0,
430,46055,Haakon County,SD,0,1.0,0.0,
431,46057,Hamlin County,SD,0,1.0,0.0,
432,46059,Hand County,SD,0,1.0,0.0,
433,46061,Hanson County,SD,0,1.0,0.0,
434,46063,Harding County,SD,0,1.0,1.0,Datasets/merged_tp_precip_wind_fmc_46063_Harding County.csv
435,46065,Hughes County,SD,0,1.0,0.0,
436,46067,Hutchinson County,SD,0,1.0,0.0,
437,46069,Hyde County,SD,0,1.0,0.0,
438,46071,Jackson County,SD,0,1.0,0.0,
439,46073,Jerauld County,SD,0,1.0,0.0,
440,46075,Jones County,SD,0,1.0,0.0,
441,46077,Kingsbury County,SD,0,1.0,0.0,
442,46079,Lake County,SD,0,1.0,0.0,
443,46081,Lawrence County,SD,0,1.0,0.0,
